#       r             R(r)          X(r)=rR(r)          Veff
  3.504494e-04   1.597759e+01   5.599335e-03  -2.282783e+04
  3.539714e-04   1.597736e+01   5.655530e-03  -2.260069e+04
  3.575289e-04   1.597713e+01   5.712287e-03  -2.237581e+04
  3.611221e-04   1.597691e+01   5.769614e-03  -2.215317e+04
  3.647515e-04   1.597667e+01   5.827515e-03  -2.193274e+04
  3.684173e-04   1.597644e+01   5.885996e-03  -2.171451e+04
  3.721199e-04   1.597620e+01   5.945063e-03  -2.149845e+04
  3.758598e-04   1.597596e+01   6.004722e-03  -2.128453e+04
  3.796373e-04   1.597572e+01   6.064979e-03  -2.107275e+04
  3.834527e-04   1.597548e+01   6.125840e-03  -2.086307e+04
  3.873064e-04   1.597523e+01   6.187310e-03  -2.065548e+04
  3.911989e-04   1.597498e+01   6.249396e-03  -2.044995e+04
  3.951305e-04   1.597473e+01   6.312105e-03  -2.024647e+04
  3.991017e-04   1.597448e+01   6.375441e-03  -2.004502e+04
  4.031127e-04   1.597422e+01   6.439412e-03  -1.984557e+04
  4.071641e-04   1.597396e+01   6.504024e-03  -1.964810e+04
  4.112561e-04   1.597370e+01   6.569283e-03  -1.945260e+04
  4.153893e-04   1.597344e+01   6.635195e-03  -1.925904e+04
  4.195641e-04   1.597317e+01   6.701768e-03  -1.906741e+04
  4.237807e-04   1.597290e+01   6.769008e-03  -1.887769e+04
  4.280398e-04   1.597263e+01   6.836921e-03  -1.868985e+04
  4.323417e-04   1.597235e+01   6.905515e-03  -1.850388e+04
  4.366868e-04   1.597208e+01   6.974795e-03  -1.831977e+04
  4.410756e-04   1.597180e+01   7.044769e-03  -1.813748e+04
  4.455084e-04   1.597151e+01   7.115444e-03  -1.795701e+04
  4.499859e-04   1.597123e+01   7.186827e-03  -1.777834e+04
  4.545083e-04   1.597094e+01   7.258924e-03  -1.760144e+04
  4.590762e-04   1.597065e+01   7.331744e-03  -1.742630e+04
  4.636900e-04   1.597035e+01   7.405292e-03  -1.725291e+04
  4.683501e-04   1.597005e+01   7.479577e-03  -1.708124e+04
  4.730571e-04   1.596975e+01   7.554606e-03  -1.691128e+04
  4.778114e-04   1.596945e+01   7.630386e-03  -1.674301e+04
  4.826135e-04   1.596914e+01   7.706924e-03  -1.657641e+04
  4.874639e-04   1.596883e+01   7.784229e-03  -1.641147e+04
  4.923630e-04   1.596852e+01   7.862308e-03  -1.624818e+04
  4.973113e-04   1.596820e+01   7.941168e-03  -1.608650e+04
  5.023094e-04   1.596788e+01   8.020818e-03  -1.592644e+04
  5.073577e-04   1.596756e+01   8.101265e-03  -1.576797e+04
  5.124567e-04   1.596724e+01   8.182517e-03  -1.561108e+04
  5.176070e-04   1.596691e+01   8.264583e-03  -1.545574e+04
  5.228090e-04   1.596658e+01   8.347469e-03  -1.530196e+04
  5.280633e-04   1.596624e+01   8.431186e-03  -1.514970e+04
  5.333704e-04   1.596590e+01   8.515740e-03  -1.499896e+04
  5.387309e-04   1.596556e+01   8.601140e-03  -1.484971e+04
  5.441452e-04   1.596521e+01   8.687395e-03  -1.470196e+04
  5.496140e-04   1.596486e+01   8.774512e-03  -1.455567e+04
  5.551377e-04   1.596451e+01   8.862502e-03  -1.441084e+04
  5.607169e-04   1.596415e+01   8.951372e-03  -1.426745e+04
  5.663522e-04   1.596379e+01   9.041131e-03  -1.412549e+04
  5.720442e-04   1.596343e+01   9.131788e-03  -1.398493e+04
  5.777933e-04   1.596306e+01   9.223352e-03  -1.384578e+04
  5.836002e-04   1.596269e+01   9.315831e-03  -1.370801e+04
  5.894655e-04   1.596232e+01   9.409236e-03  -1.357162e+04
  5.953897e-04   1.596194e+01   9.503576e-03  -1.343658e+04
  6.013735e-04   1.596156e+01   9.598858e-03  -1.330288e+04
  6.074174e-04   1.596117e+01   9.695094e-03  -1.317052e+04
  6.135220e-04   1.596078e+01   9.792292e-03  -1.303947e+04
  6.196880e-04   1.596039e+01   9.890462e-03  -1.290972e+04
  6.259160e-04   1.595999e+01   9.989614e-03  -1.278127e+04
  6.322066e-04   1.595959e+01   1.008976e-02  -1.265409e+04
  6.385604e-04   1.595918e+01   1.019090e-02  -1.252818e+04
  6.449780e-04   1.595877e+01   1.029306e-02  -1.240352e+04
  6.514601e-04   1.595836e+01   1.039624e-02  -1.228011e+04
  6.580074e-04   1.595794e+01   1.050044e-02  -1.215792e+04
  6.646205e-04   1.595752e+01   1.060570e-02  -1.203694e+04
  6.713000e-04   1.595709e+01   1.071200e-02  -1.191717e+04
  6.780467e-04   1.595666e+01   1.081936e-02  -1.179860e+04
  6.848612e-04   1.595623e+01   1.092780e-02  -1.168120e+04
  6.917442e-04   1.595579e+01   1.103732e-02  -1.156497e+04
  6.986963e-04   1.595535e+01   1.114794e-02  -1.144990e+04
  7.057183e-04   1.595490e+01   1.125966e-02  -1.133597e+04
  7.128109e-04   1.595445e+01   1.137250e-02  -1.122317e+04
  7.199748e-04   1.595399e+01   1.148647e-02  -1.111150e+04
  7.272107e-04   1.595353e+01   1.160157e-02  -1.100094e+04
  7.345192e-04   1.595306e+01   1.171783e-02  -1.089148e+04
  7.419013e-04   1.595259e+01   1.183525e-02  -1.078311e+04
  7.493575e-04   1.595211e+01   1.195384e-02  -1.067581e+04
  7.568887e-04   1.595163e+01   1.207361e-02  -1.056959e+04
  7.644955e-04   1.595115e+01   1.219458e-02  -1.046442e+04
  7.721789e-04   1.595066e+01   1.231676e-02  -1.036029e+04
  7.799394e-04   1.595016e+01   1.244016e-02  -1.025721e+04
  7.877779e-04   1.594966e+01   1.256479e-02  -1.015515e+04
  7.956952e-04   1.594916e+01   1.269067e-02  -1.005410e+04
  8.036921e-04   1.594865e+01   1.281780e-02  -9.954061e+03
  8.117693e-04   1.594813e+01   1.294620e-02  -9.855017e+03
  8.199277e-04   1.594761e+01   1.307589e-02  -9.756958e+03
  8.281681e-04   1.594709e+01   1.320687e-02  -9.659874e+03
  8.364914e-04   1.594655e+01   1.333915e-02  -9.563757e+03
  8.448982e-04   1.594602e+01   1.347276e-02  -9.468596e+03
  8.533896e-04   1.594548e+01   1.360770e-02  -9.374382e+03
  8.619663e-04   1.594493e+01   1.374399e-02  -9.281105e+03
  8.706292e-04   1.594438e+01   1.388164e-02  -9.188757e+03
  8.793792e-04   1.594382e+01   1.402066e-02  -9.097327e+03
  8.882171e-04   1.594326e+01   1.416107e-02  -9.006807e+03
