#       r             V(r)
  1.68448675e-03  -4.74922109e+03
  1.70141612e-03  -4.70196555e+03
  1.71851564e-03  -4.65518021e+03
  1.73578701e-03  -4.60886040e+03
  1.75323196e-03  -4.56300147e+03
  1.77085223e-03  -4.51759885e+03
  1.78864959e-03  -4.47264799e+03
  1.80662582e-03  -4.42814439e+03
  1.82478271e-03  -4.38408362e+03
  1.84312208e-03  -4.34046126e+03
  1.86164577e-03  -4.29727295e+03
  1.88035562e-03  -4.25451437e+03
  1.89925351e-03  -4.21218124e+03
  1.91834132e-03  -4.17026934e+03
  1.93762097e-03  -4.12877447e+03
  1.95709439e-03  -4.08769248e+03
  1.97676351e-03  -4.04701926e+03
  1.99663032e-03  -4.00675074e+03
  2.01669678e-03  -3.96688290e+03
  2.03696492e-03  -3.92741176e+03
  2.05743676e-03  -3.88833336e+03
  2.07811435e-03  -3.84964380e+03
  2.09899974e-03  -3.81133920e+03
  2.12009504e-03  -3.77341574e+03
  2.14140235e-03  -3.73586963e+03
  2.16292380e-03  -3.69869710e+03
  2.18466155e-03  -3.66189445e+03
  2.20661776e-03  -3.62545800e+03
  2.22879464e-03  -3.58938409e+03
  2.25119440e-03  -3.55366912e+03
  2.27381928e-03  -3.51830952e+03
  2.29667154e-03  -3.48330175e+03
  2.31975347e-03  -3.44864232e+03
  2.34306738e-03  -3.41432776e+03
  2.36661560e-03  -3.38035463e+03
  2.39040048e-03  -3.34671954e+03
  2.41442441e-03  -3.31341912e+03
  2.43868978e-03  -3.28045005e+03
  2.46319902e-03  -3.24780903e+03
  2.48795458e-03  -3.21549279e+03
  2.51295894e-03  -3.18349810e+03
  2.53821459e-03  -3.15182177e+03
  2.56372407e-03  -3.12046061e+03
  2.58948993e-03  -3.08941151e+03
  2.61551474e-03  -3.05867135e+03
  2.64180110e-03  -3.02823707e+03
  2.66835164e-03  -2.99810560e+03
  2.69516902e-03  -2.96827395e+03
  2.72225592e-03  -2.93873914e+03
  2.74961504e-03  -2.90949819e+03
  2.77724913e-03  -2.88054820e+03
  2.80516095e-03  -2.85188627e+03
  2.83335329e-03  -2.82350953e+03
  2.86182896e-03  -2.79541514e+03
